"current_url","recommended_url","redirect_301_required","canonical","internal_link_updates","reason"
"/product/tos-8347140620449-electric-masala-grinder","/product/tos-8347140620449-electric-masala-grinder","No slug change recommended","https://mixenza.com/product/tos-8347140620449-electric-masala-grinder","Use this canonical slug in cards, navigation, related products, sitemap and feeds","No verified traffic/link evidence justifies cosmetic migration"
"/product/tos-8396207653025-foot-roller-massager","/product/tos-8396207653025-foot-roller-massager","No slug change recommended","https://mixenza.com/product/tos-8396207653025-foot-roller-massager","Use this canonical slug in cards, navigation, related products, sitemap and feeds","No verified traffic/link evidence justifies cosmetic migration"
"/product/tos-8347529511073-new-2-in-1-flawless-eyebrow-trimmer","/product/tos-8347529511073-new-2-in-1-flawless-eyebrow-trimmer","No slug change recommended","https://mixenza.com/product/tos-8347529511073-new-2-in-1-flawless-eyebrow-trimmer","Use this canonical slug in cards, navigation, related products, sitemap and feeds","No verified traffic/link evidence justifies cosmetic migration"
"/product/tos-8347136393377-rechargeable-lint-remover","/product/tos-8347136393377-rechargeable-lint-remover","No slug change recommended","https://mixenza.com/product/tos-8347136393377-rechargeable-lint-remover","Use this canonical slug in cards, navigation, related products, sitemap and feeds","No verified traffic/link evidence justifies cosmetic migration"
"/product/tos-8391726760097-ultrasonic-mosquito-repellent-light","/product/tos-8391726760097-ultrasonic-mosquito-repellent-light","No slug change recommended","https://mixenza.com/product/tos-8391726760097-ultrasonic-mosquito-repellent-light","Use this canonical slug in cards, navigation, related products, sitemap and feeds","No verified traffic/link evidence justifies cosmetic migration"
"/product/tos-8555030773921-child-safety-locks-home-refrigerator-lock","/product/tos-8555030773921-child-safety-locks-home-refrigerator-lock","No slug change recommended","https://mixenza.com/product/tos-8555030773921-child-safety-locks-home-refrigerator-lock","Use this canonical slug in cards, navigation, related products, sitemap and feeds","No verified traffic/link evidence justifies cosmetic migration"
"/product/tos-8513553629345-3-layer-travel-organizer","/product/tos-8513553629345-3-layer-travel-organizer","No slug change recommended","https://mixenza.com/product/tos-8513553629345-3-layer-travel-organizer","Use this canonical slug in cards, navigation, related products, sitemap and feeds","No verified traffic/link evidence justifies cosmetic migration"
"/product/tos-8381138927777-portable-handfree-mini-mop","/product/tos-8381138927777-portable-handfree-mini-mop","No slug change recommended","https://mixenza.com/product/tos-8381138927777-portable-handfree-mini-mop","Use this canonical slug in cards, navigation, related products, sitemap and feeds","No verified traffic/link evidence justifies cosmetic migration"
"/product/default?id=e581369f-a0ce-4324-aa45-53595ef2c46b","/product/pickora-1972612611","Yes; known UUID alias","https://mixenza.com/product/pickora-1972612611","sourceUrl compatibility field and legacy product click handlers; update to productPath()","Consolidate duplicate URL without changing established slug"
"/product/default?id=9041791c-5c27-4469-b797-3d2489c30f85","/product/pickora-1963263814","Yes; known UUID alias","https://mixenza.com/product/pickora-1963263814","sourceUrl compatibility field and legacy product click handlers; update to productPath()","Consolidate duplicate URL without changing established slug"
"/product/default?id=09beca24-a0fe-4b00-9cc4-0d8736e6e9d6","/product/pickora-1965017109","Yes; known UUID alias","https://mixenza.com/product/pickora-1965017109","sourceUrl compatibility field and legacy product click handlers; update to productPath()","Consolidate duplicate URL without changing established slug"
"/product/default?id=8f60e98d-0e05-4702-92b1-a2b49de22c33","/product/pickora-1966895078","Yes; known UUID alias","https://mixenza.com/product/pickora-1966895078","sourceUrl compatibility field and legacy product click handlers; update to productPath()","Consolidate duplicate URL without changing established slug"
"/product/default?id=3f25dfdf-f08b-46eb-9e61-5edffdfef911","/product/pickora-1973702573","Yes; known UUID alias","https://mixenza.com/product/pickora-1973702573","sourceUrl compatibility field and legacy product click handlers; update to productPath()","Consolidate duplicate URL without changing established slug"
"/product/default?id=a1b8a4a2-662f-4e7c-b4b4-67c9ed6988aa","/product/pickora-1971400774","Yes; known UUID alias","https://mixenza.com/product/pickora-1971400774","sourceUrl compatibility field and legacy product click handlers; update to productPath()","Consolidate duplicate URL without changing established slug"
"/product/default?id=c0cf4dd9-d8f6-4bee-bd3c-3755a6c4e4ab","/product/tos-8381141581985-digital-kitchen-weight-scale-machine","Yes; known UUID alias","https://mixenza.com/product/tos-8381141581985-digital-kitchen-weight-scale-machine","sourceUrl compatibility field and legacy product click handlers; update to productPath()","Consolidate duplicate URL without changing established slug"
"/product/default?id=5437451d-3034-4c3f-a6d2-2c04e331288c","/product/tos-8381139779745-mini-food-chopper","Yes; known UUID alias","https://mixenza.com/product/tos-8381139779745-mini-food-chopper","sourceUrl compatibility field and legacy product click handlers; update to productPath()","Consolidate duplicate URL without changing established slug"
"/product/default?id=bbd57c79-93b1-4922-8104-1c8eb00c4351","/product/tos-8317065298081-water-spray-mop","Yes; known UUID alias","https://mixenza.com/product/tos-8317065298081-water-spray-mop","sourceUrl compatibility field and legacy product click handlers; update to productPath()","Consolidate duplicate URL without changing established slug"
"/shop?category=Kitchenware","/shop/kitchenware","Yes for category-only URL; preserve meaningful page parameter","https://mixenza.com/shop/kitchenware","Filters/category menus use shopPath() links","Clean category already exists; no rename needed"
