"url","primary_keyword","seo_title","meta_description","h1","search_intent","state"
"/shop/home-lifestyle","home decor accessories Pakistan","Home Decor & Lifestyle Accessories in Pakistan | Mixenza","Browse home decor & lifestyle accessories at Mixenza. Compare current PKR prices, product details and available options before ordering.","Home Decor & Lifestyle Accessories in Pakistan","Transactional","Existing; curated copy"
"/shop/wellness","massage tools Pakistan","Massage & Wellness Tools in Pakistan | Mixenza","Browse massage & wellness tools at Mixenza. Compare current PKR prices, product details and available options before ordering.","Massage & Wellness Tools in Pakistan","Transactional","Existing; curated copy"
"/shop/organizers","home organizers Pakistan","Home & Travel Organizers in Pakistan | Mixenza","Browse home & travel organizers at Mixenza. Compare current PKR prices, product details and available options before ordering.","Home & Travel Organizers in Pakistan","Transactional","Existing; curated copy"
"/shop/drinkware","tumbler Pakistan","Tumblers & Drinkware in Pakistan | Mixenza","Browse tumblers & drinkware at Mixenza. Compare current PKR prices, product details and available options before ordering.","Tumblers & Drinkware in Pakistan","Transactional","Existing; curated copy"
"/shop/office-accessories","desk accessories Pakistan","Desk & Office Accessories in Pakistan | Mixenza","Browse desk & office accessories at Mixenza. Compare current PKR prices, product details and available options before ordering.","Desk & Office Accessories in Pakistan","Transactional","Existing; curated copy"
"/product/pickora-1972612611","365nm money detector","JC-205 365nm UV Money Detector Price in Pakistan | Mixenza","View the JC-205 rechargeable 365nm UV money detector, its verified features, current price and availability.","JC-205 Rechargeable 365nm UV Money Detector","Transactional","Existing; validate mentioned specs are visible before publishing"
"/product/pickora-1963263814","money detector pen","ERITE 395nm UV Money Detector Pen Price | Mixenza","Check the ERITE 395nm UV money detector pen specifications, current PKR price and availability.","ERITE 395nm UV Money Detector Pen","Transactional","Existing; validate mentioned specs are visible before publishing"
"/product/pickora-1965017109","portable fan Pakistan","Portable USB Rechargeable Mini Hand Fan | Mixenza","View this portable USB rechargeable hand fan’s verified speeds, charging details, price and availability.","Portable USB Rechargeable Mini Hand Fan","Transactional","Existing; validate mentioned specs are visible before publishing"
"/product/pickora-1966895078","rechargeable hand fan","Digital 5-Speed Rechargeable Hand Fan | Mixenza","Compare verified features, display, speed settings, current price and stock for this rechargeable hand fan.","Digital 5-Speed Rechargeable Hand Fan","Transactional","Existing; validate mentioned specs are visible before publishing"
"/product/pickora-1973702573","massage gun Pakistan","5-in-1 Massage Gun Price in Pakistan | Mixenza","View the 5-in-1 rechargeable massage gun, included attachments, verified specifications and current price.","5-in-1 Rechargeable Full Body Massage Gun","Transactional","Existing; validate mentioned specs are visible before publishing"
"/product/pickora-1971400774","water pump Pakistan","Automatic Rechargeable Water Dispenser Pump | Mixenza","See compatibility, charging details, current price and availability for this automatic bottle water pump.","Automatic Rechargeable Water Dispenser Pump","Transactional","Existing; validate mentioned specs are visible before publishing"
"/product/tos-8381141581985-digital-kitchen-weight-scale-machine","kitchen scale Pakistan","Digital Kitchen Scale Price in Pakistan | Mixenza","Check capacity, units, dimensions and current PKR price for this digital kitchen weight scale.","Digital Kitchen Weight Scale","Transactional","Existing; validate mentioned specs are visible before publishing"
"/product/tos-8381139779745-mini-food-chopper","mini food chopper Pakistan","Mini Food Chopper Price in Pakistan | Mixenza","View this mini food chopper’s verified capacity, blade, materials, package contents and current price.","Mini Food Chopper","Transactional","Existing; validate mentioned specs are visible before publishing"
"/product/tos-8317065298081-water-spray-mop","spray mop Pakistan","Water Spray Mop Price in Pakistan | Mixenza","Check mop dimensions, tank capacity, compatible floors, package contents and current PKR price.","Water Spray Mop","Transactional","Existing; validate mentioned specs are visible before publishing"
"/product/tos-8349003153569-silver-crest-4-in-1-hand-blender-set","hand blender Pakistan","Silver Crest 4-in-1 Hand Blender Set | Mixenza","Review verified power, attachments, package contents, current price and availability.","Silver Crest 4-in-1 Hand Blender Set","Transactional","Existing; validate mentioned specs are visible before publishing"
"/product/pickora-1970697444","detangling hair brush Pakistan","2-in-1 Mist Spray Detangling Hair Brush | Mixenza","View the mist spray detangling brush, verified materials, use instructions, price and availability.","2-in-1 Mist Spray Detangling Hair Brush","Transactional","Existing; validate mentioned specs are visible before publishing"
"/product/pickora-1971845697","40oz tumbler Pakistan","40oz Stainless Steel Insulated Tumbler | Mixenza","Check capacity, verified insulation details, dimensions, care instructions and current PKR price.","40oz Stainless Steel Insulated Tumbler","Transactional","Existing; validate mentioned specs are visible before publishing"
"/product/tos-8347140620449-electric-masala-grinder","masala grinder Pakistan","Electric Masala Grinder Price in Pakistan | Mixenza","Compare verified capacity, power, suitable ingredients, care instructions and current price.","Electric Masala Grinder","Transactional","Existing; validate mentioned specs are visible before publishing"
"/product/tos-8396207653025-foot-roller-massager","foot roller massager","Foot Roller Massager Price in Pakistan | Mixenza","View the foot roller’s design, dimensions, suggested use, current PKR price and availability.","Foot Roller Massager","Transactional","Existing; validate mentioned specs are visible before publishing"
"/product/tos-8347529511073-new-2-in-1-flawless-eyebrow-trimmer","eyebrow trimmer Pakistan","2-in-1 Eyebrow Trimmer Price in Pakistan | Mixenza","Check this eyebrow trimmer’s verified features, package contents, care instructions and price.","2-in-1 Eyebrow Trimmer","Transactional","Existing; validate mentioned specs are visible before publishing"
"/product/tos-8347136393377-rechargeable-lint-remover","lint remover Pakistan","Rechargeable Lint Remover Price in Pakistan | Mixenza","View charging, blade and fabric-care details, package contents and current price.","Rechargeable Lint Remover","Transactional","Existing; validate mentioned specs are visible before publishing"
"/product/tos-8391726760097-ultrasonic-mosquito-repellent-light","mosquito repellent light","Mosquito Repellent Light Price in Pakistan | Mixenza","Review verified coverage, power, placement and safety information before ordering.","Ultrasonic Mosquito Repellent Light","Transactional","Existing; validate mentioned specs are visible before publishing"
"/product/tos-8555030773921-child-safety-locks-home-refrigerator-lock","refrigerator lock Pakistan","Refrigerator Child Safety Lock | Mixenza","Check fit, dimensions, installation method, package contents and current PKR price.","Refrigerator Child Safety Lock","Transactional","Existing; validate mentioned specs are visible before publishing"
"/product/tos-8513553629345-3-layer-travel-organizer","travel organizer Pakistan","3-Layer Travel Organizer Price in Pakistan | Mixenza","View dimensions, material, compartments, packing uses and current availability.","3-Layer Travel Organizer","Transactional","Existing; validate mentioned specs are visible before publishing"
"/product/tos-8381138927777-portable-handfree-mini-mop","mini mop Pakistan","Portable Hands-Free Mini Mop | Mixenza","Review dimensions, suitable surfaces, cleaning instructions and current price.","Portable Hands-Free Mini Mop","Transactional","Existing; validate mentioned specs are visible before publishing"
"/blog/money-detector-price-pakistan","money detector price in Pakistan","Money Detector Price in Pakistan: Pen vs UV Torch | Mixenza","Compare UV money detector pens and handheld tools for shops in Pakistan. Check wavelengths, charging, current prices and what each tool can and cannot do.","Money Detector Price in Pakistan: Pen vs UV Torch","Commercial","New; editorial gate applies"
"/blog/check-currency-notes-uv","check Pakistani currency notes","Checking Pakistani Notes: UV Tools and Security Features | Mixenza","Learn where to find official Pakistani banknote security guidance and how to assess UV inspection tools without relying on a single authenticity check.","Checking Pakistani Notes: UV Tools and Security Features","Informational","New; editorial gate applies"
"/blog/rechargeable-hand-fans-pakistan","rechargeable hand fan Pakistan","Rechargeable Hand Fans for Travel and Personal Cooling | Mixenza","Compare portable hand fans for travel and desk use in Pakistan. Check the controls, charging connection, size and evidence behind battery-life claims.","Rechargeable Hand Fans for Travel and Personal Cooling","Commercial","New; editorial gate applies"
"/blog/portable-fan-buying-guide","portable fan buying guide","Portable Fan Buying Guide: Runtime and Charging | Mixenza","Choose a portable fan with a clear buying checklist covering speed controls, charging, measured runtime, dimensions and the accessories in the box.","Portable Fan Buying Guide: Runtime and Charging","Commercial","New; editorial gate applies"
"/blog/massage-gun-price-pakistan","massage gun price in Pakistan","Massage Gun Price in Pakistan: What to Compare | Mixenza","Compare massage gun specifications and current prices in Pakistan. Check attachments, controls, package contents and the limits of product claims.","Massage Gun Price in Pakistan: What to Compare","Commercial","New; editorial gate applies"
"/blog/massage-gun-attachments","massage gun attachments","Massage Gun Attachments and Package Contents Explained | Mixenza","Understand the attachments listed with a massage gun, check what is included and find the model instructions for fitting, cleaning and appropriate use.","Massage Gun Attachments and Package Contents Explained","Informational","New; editorial gate applies"
"/blog/water-dispenser-pump-pakistan","automatic water pump Pakistan","Automatic Water Dispenser Pump Buying Guide | Mixenza","Check bottle compatibility, charging, hose dimensions and cleaning before buying an automatic water dispenser pump for your home or office in Pakistan.","Automatic Water Dispenser Pump Buying Guide","Commercial","New; editorial gate applies"
"/blog/digital-kitchen-scale-uses","digital kitchen scale uses","Digital Kitchen Scale Uses and Buying Checks | Mixenza","Explore kitchen scale uses for measured recipes and food preparation. Learn what to check about tare, units, capacity, displayed resolution and cleaning.","Digital Kitchen Scale Uses and Buying Checks","Informational","New; editorial gate applies"
"/blog/mini-chopper-vs-manual","mini food chopper Pakistan","Choosing a Food Chopper for Small Preparation Tasks | Mixenza","Choose a small food chopper by its mechanism, capacity and supported ingredients. Compare preparation, cleaning and storage needs before ordering.","Choosing a Food Chopper for Small Preparation Tasks","Commercial","New; editorial gate applies"
"/blog/spray-mop-vs-spin-mop","spray mop vs spin mop","Spray Mop vs Bucket Mop: A Practical Comparison | Mixenza","Compare spray and bucket mops for everyday cleaning. Check floor-care instructions, pad replacement, storage space and current product contents.","Spray Mop vs Bucket Mop: A Practical Comparison","Commercial","New; editorial gate applies"
"/shop/choppers","food chopper Pakistan","Food Choppers in Pakistan | Mixenza","Compare food choppers by mechanism, bowl capacity, suitable ingredients and cleaning needs. Check the exact model details and current price.","Food choppers","Transactional","Proposed subcategory; do not publish until distinct inventory and selection value exist"
"/shop/kitchen-scales","kitchen scale Pakistan","Digital Kitchen Scales in Pakistan | Mixenza","Compare kitchen scales by capacity, units, tare function and power source. Check available models and current PKR prices.","Digital kitchen scales","Transactional","Proposed subcategory; do not publish until distinct inventory and selection value exist"
"/shop/water-pumps","water dispenser pump Pakistan","Water Dispenser Pumps in Pakistan | Mixenza","Compare manual and rechargeable bottle pumps by fit, power source and package contents. Check dimensions before ordering.","Bottle water dispenser pumps","Transactional","Proposed subcategory; do not publish until distinct inventory and selection value exist"
